Index,V1,V2,V3,V4
334,290232,240225,88619,139320
335,289921,240241,88682,139498
336,289525,240138,88750,139687
337,289535,240051,88643,139626
338,-128809,239999,88623,139708
339,290039,240123,88658,139835
340,290432,240023,88676,139656
341,290774,4178154,88624,139885
342,290827,239896,88897,139813
343,290526,239921,88811,139795
344,290836,240205,88544,139851
345,290689,240129,88710,139812
346,290331,239938,88630,139882
347,290260,239878,88395,139841
348,290411,240064,88424,139675
349,290364,240009,88655,139524
350,290237,240051,88807,139268
351,290466,239952,88697,139551
352,290713,239774,88692,139659
353,290986,239886,88599,139774
354,291535,240159,88546,139705
355,291949,240119,88680,139866
356,291871,239702,88768,139824
357,291542,239931,88648,139923
358,291525,240173,88684,139650
359,291427,240170,88746,139528
360,4178204,240084,88516,139563
361,291061,239985,88690,139503
362,291174,239813,88773,139514
363,291465,239999,88847,139671
364,291733,239978,88675,139597
365,292283,240047,88545,139616
366,292629,239949,88689,139575
367,292808,239901,88531,139772
368,292944,240022,88881,139694
369,292993,239989,88701,139520
370,292920,240120,88417,139491
371,292792,240102,88456,139542
372,292675,240020,88550,139569
373,292854,239961,88790,139416
374,292998,240208,88820,139532
375,293009,240113,88694,139941
376,293148,239892,88573,139795
377,293434,239881,88651,139647
378,294129,240115,88848,-64991
379,294736,240178,88520,139861
380,295206,240227,88469,139837
381,295319,240199,88596,139779
382,522275,240064,88597,139741
383,294755,239972,88492,139916
384,294636,240143,88549,139789
385,294519,240181,88399,139502
386,294525,241656,88200,139702
387,294793,239963,88393,139543
388,295229,239945,88592,139424
389,295346,239830,88550,139478
390,295530,240210,88587,139620
391,295843,240325,88516,139715
392,296128,240146,88683,139780
393,296106,239974,88657,139453
394,295646,239942,88448,139557
395,295627,240007,88429,139522
396,295666,240018,88530,139416
397,295575,240119,88511,139482
398,295415,240093,88515,139439
399,295299,240096,88658,139384
400,295371,240061,88681,139477
401,295506,240092,88641,139747
402,295695,239919,88531,1044514
403,295827,240111,88491,139732
404,311170,240120,88575,139722
405,296146,240213,88679,139673
406,296232,240240,88595,139717
407,295928,240151,88673,139647
408,295464,240096,88768,139704
409,295218,245696,88836,139639
410,295049,240195,88700,139560
411,295100,240109,88706,139505
412,295202,240026,88774,139613
413,295264,240002,88669,139814
414,295634,240104,88751,139991
415,295967,240096,88797,139801
416,296018,240083,88621,139650
417,296266,239920,88549,139531
418,296438,240017,88729,139931
419,296260,239999,88684,139918
420,296015,239998,88688,139845
421,295865,240034,88790,139680
422,295908,239949,88695,139585
423,295985,239731,88530,139623
424,296043,239898,88450,139650
425,296100,239865,88675,139709
426,296952,240132,88800,147328
427,296827,240194,88821,139901
428,297117,240291,88703,139889
429,297390,240318,88527,139983
430,297510,240272,88553,139909
431,297349,240273,88607,139707
432,297093,262017,88727,139664
433,297005,240019,88691,139835
434,297206,239953,88788,139998
435,297034,239868,88589,139865
436,297001,240057,88375,139690
437,297430,240032,88612,139577
438,297433,240010,88797,139431
439,297582,239997,88524,139637
440,298042,240016,88614,139718
441,298313,239886,88733,139831
442,298259,239893,88510,139772
443,298151,239884,88557,139811
444,298094,239973,88612,139791
445,297905,240111,88597,139835
446,297656,239939,88455,139743
447,297491,239908,88452,139650
448,297471,240008,88419,139625
449,297751,240148,88584,139644
450,297974,240038,88572,140284
451,298352,240017,88648,139749
452,298474,239744,88598,139855
453,298474,239920,88525,139839
454,298761,239911,88453,139760
455,298453,261134,88471,140104
456,298318,240178,88372,139822
457,298413,239965,88639,139733
458,298087,240155,88600,139724
459,297928,239959,88363,139812
460,297954,239896,88280,139631
461,297957,239853,88406,139488
462,298137,239821,88611,139536
463,298419,239811,88595,139641
464,298705,240010,88363,139931
465,299040,239900,88371,139782
466,299098,239867,88302,139704
467,299193,239962,88310,139708
468,299035,239923,88752,139521
469,299151,239875,88933,139451
470,299135,240008,88712,139794
471,8356424,240183,88566,139766
472,298892,240175,88668,139649
473,298703,239748,88406,139786
474,299093,239833,88504,139711
475,299592,240185,88706,8323344
476,300013,240265,88689,139688
477,300074,240091,88742,139814
478,300239,2089077,88572,139895
479,300562,240169,88738,139780
480,300614,240230,88424,139555
481,300246,240399,88161,139622
482,299830,240251,88258,139520
483,299786,240089,88270,139616
484,299790,239959,88334,139735
485,299841,239967,88527,139445
486,299941,239918,88396,139326
487,299945,240133,88399,139627
488,300292,240363,88686,139788
489,300794,240242,88706,139580
490,301037,240178,88735,139463
491,301297,240018,88574,139705
492,301352,240010,88560,139639
493,520265,240072,88614,139558
494,301192,240022,88393,139740
495,301018,240170,88445,139842
496,300627,239882,88526,139672
497,300763,239779,88630,139934
498,300897,239741,88460,139999
499,301197,240116,88631,522257
500,301467,240511,88564,140126
501,301854,-64598,88557,139945
502,302036,240348,88702,139801
503,302454,240437,88744,139708
504,302145,240383,88678,139633
